#,Release Date,Title,Instructor,Price,Product Type,Tags,URL
1,2017-02-27,"The Road To Blue Belt by Travis Lutter","Travis Lutter",47.00,"COMBO","above-30, best_sellers_two_years, bestsellers-new, featured-bestsellers, Fighter_Travis Lutter, GTIN, hide-combo, Show_More_App, Technique_Blue Belt, TopBestSeller, Travis Lutter",https://bjjfanatics.com/products/the-road-to-blue-belt-2-dvd-set-by-travis-lutter
2,2017-03-31,"The Diamond Protocol by Ethan Benda","Ethan Benda",47.00,"COMBO","above-30, auto-best-seller, best_sellers_two_years, bestsellers-new, Conditioning, Ethan Benda, Facebook, featured-bestsellers, Fighter_Ethan Benda, GTIN, hide-combo, hide-dvd, MC_Conditioning, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/the-diamond-protocol-by-ethan-benda
3,2017-04-06,"Arm-Lock Series (Juji-Gatame) by Jimmy Pedro & Travis Stevens","Jimmy Pedro",29.99,"COMBO","best_sellers_two_years, Fighter_Jimmy Pedro, Fighter_Travis Stevens, hide-combo, Jimmy Pedro, MC_Submissions, On Demand, SC_Submissions_Arm_Attacks, Show_More_App, SUBMISSIONS, Technique_Arm Locks, travis stevens",https://bjjfanatics.com/products/arm-lock-series-juji-gatame-by-jimmy-pedro-travis-stevens-vol-1-2-on-demand
4,2017-04-14,"The Power Judo Guard Passing by Jimmy Pedro","Jimmy Pedro",37.00,"COMBO","above-30, above-60, Fighter_Jimmy Pedro, GUARD, Guard Passing, hide-combo, Jimmy Pedro, MC_Guard_Passing, MC_Judo, Show_More_App, Technique_Guards",https://bjjfanatics.com/products/the-power-judo-guard-passing-dvd-by-jimmy-pedro
5,2017-06-12,"Russian Grappling Hacks by Rustam Chsiev","Rustam Chsiev",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, Fighter_Rustam Chsiev, hide-combo, hide-dvd, MC_Submissions, MC_Takedowns, Rustam Chsiev, SC_Submissions_Chokes, SC_Submissions_Foot_&_Leg_Attacks, SC_Takedowns_No_Gi_Takedowns, Show_More_App, stock, Technique_Grappling, Technique_Submissions",https://bjjfanatics.com/products/russian-grappling-hacks-by-rustam-chsiev
6,2018-02-03,"The Pillars Clinch and Takedowns by Stephen Whittier","Stephen Whittier",97.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Fighter_Stephen Whittier, GTIN, hide-combo, Show_More_App, TAKEDOWNS, Technique_Takedowns",https://bjjfanatics.com/products/the-pillars-clinch-and-takedowns-dvd-by-stephen-whittier
7,2018-03-15,"30 Day Fighter Challenge by Lockhart and Leith","George Lockhart",47.00,"COMBO","above-30, auto-best-seller, best_sellers_two_years, Conditioning, Facebook, Fighter_George Lockhart, GTIN, hide-combo, hide-dvd, MC_Conditioning, New, Show_More_App",https://bjjfanatics.com/products/lockhart-leith-nutrition-and-weight-management-system-with-george-lockhart-combo-dvd-hard-copy-book-digital-e-book
8,2018-04-12,"The No Gi Half Guard by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, bestsellers-new, bundle-discount, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, hide-combo, hide-dvd, level-3, MC_Guard, New, SC_Guard_Half_Guard, Show_More_App, stock, Technique_No Gi, TopBestSeller",https://bjjfanatics.com/products/the-no-gi-half-guard-by-bernardo-faria
9,2018-04-13,"Sambo for BJJ by Vlad Koulikov","Vlad Koulikov",47.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, Fighter_Vlad Koulikov, hide-combo, hide-dvd, MC_Submissions, MC_Takedowns, New, OTHERS, SC_Submissions_Foot_&_Leg_Attacks, SC_Takedowns_Gi_Takedowns, Show_More_App, stock, Technique_Sambo",https://bjjfanatics.com/products/sambo-for-bjj-by-vlad-koulikov
10,2018-04-13,"The Battle Tested Half Guard by Bernardo Faria","Bernardo Faria",39.50,"COMBO","above-30, above-60, auto-best-seller, Bernardo Faria, best_selling, best_selling_fighter, bestsellers-new, Daily Deal, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, GUARD, hide-combo, hide-dvd, level-3, MC_Guard, On Demand, quiz_bestseller, SC_Guard_Half_Guard, Show_More_App, Technique_Guards, TopBestSeller",https://bjjfanatics.com/products/the-battle-tested-half-guard-by-bernardo-faria-1
11,2018-04-13,"Battle Tested Pressure Passing by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-30, above-60, auto-best-seller, Bernardo Faria, best_selling, best_selling_fighter, bestsellers-new, bundle-discount, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, GTIN, GUARD PASSING, hide-combo, hide-dvd, level-3, MC_Guard_Passing, Show_More_App, SUBMISSIONS, Technique_Passing, TopBestSeller, UPBFBTTOBFB",https://bjjfanatics.com/products/battle-tested-pressure-passing-by-bernardo-faria
12,2018-04-13,"Omoplata Everyone by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-100, above-130, above-160, above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, bestsellers-new, bundle-discount, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, hide-combo, hide-dvd, level-3, MC_Submissions, quiz_bestseller, SC_Submissions_Arm_Attacks, Show_More_App, stock, Technique_Submissions, TopBestSeller",https://bjjfanatics.com/products/omoplata-everyone-by-bernardo-faria
13,2018-04-13,"Escapes from Everywhere by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, Bernardo Faria, best_selling, best_selling_fighter, bestsellers-new, Escapes, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, hide-combo, level-3, MC_Escapes, quiz_bestseller, Show_More_App, stock, Technique_Escapes, TopBestSeller",https://bjjfanatics.com/products/escapes-from-everywhere-by-bernardo-faria
14,2018-04-13,"The Closed Guard by Bernardo Faria","Bernardo Faria",97.00,"COMBO","above-100, above-30, above-60, auto-best-seller, Bernardo Faria, best_selling, best_selling_fighter, bundle-discount, Facebook, faria-bundle, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, GUARD, hide-combo, hide-dvd, level-3, MC_Guard, SC_Guard_Closed_Guard, Show_More_App, stock, Technique_Guards",https://bjjfanatics.com/products/the-closed-guard-by-bernardo-faria
15,2018-04-16,"High Precision Half Guard Vol. 2 by Jake Mackenzie","Jake Mackenzie",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, bestsellers-new, Facebook, featured-bestsellers, Fighter_Jake Mackenzie, GUARD, hide-combo, hide-dvd, MC_Guard, New, SC_Guard_Half_Guard, Show_More_App, stock, SUBMISSIONS, Technique_Half Guard, TopBestSeller",https://bjjfanatics.com/products/high-precision-half-guard-vol-2-by-jake-mackenzie
16,2018-04-19,"Half Domination by Tom DeBlass","Tom DeBlass",79.00,"COMBO","above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, Facebook, featured-bestsellers, Fighter_Tom DeBlass, GTIN, GUARD, Half Guard, hide-combo, hide-dvd, MC_Guard, SC_Guard_Half_Guard, Show_More_App, SUBMISSIONS, Technique_Guards, Technique_Half Guard, Tom DeBlass, TopBestSeller",https://bjjfanatics.com/products/half-domination-by-tom-deblass-1
17,2018-04-19,"High Tech BJJ In The Gi by Tom DeBlass","Tom DeBlass",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, best_selling, best_selling_fighter, Facebook, Fighter_Tom DeBlass, GUARD, hide-combo, hide-dvd, MC_Guard, MC_Guard_Passing, New, Nlessons-37, SC_Guard_Half_Guard, Show_More_App, stock, SUBMISSIONS, SUBMISSIONS / LEG ATTACKS, Technique_Guards, Technique_Half Guard, Technique_Leg Attacks, TopBestSeller, Vtime-2h22min",https://bjjfanatics.com/products/high-tech-bjj-in-the-gi-by-tom-deblass
18,2018-04-19,"Submission Escapes by Tom DeBlass","Tom DeBlass",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, ESCAPES, Facebook, featured-bestsellers, Fighter_Tom DeBlass, hide-combo, hide-dvd, MC_Escapes, quiz_bestseller, Show_More_App, stock, Technique_Escapes, TopBestSeller",https://bjjfanatics.com/products/submission-escapes-by-tom-deblass
19,2018-04-21,"Down Under Leg Attacks by Craig Jones","Craig Jones",79.00,"COMBO","above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, bestsellers-new, Facebook, featured-bestsellers, Fighter_Craig Jones, GTIN, hide-combo, hide-dvd, MC_Submissions, quiz_bestseller, SC_Submissions_Foot_&_Leg_Attacks, Show_More_App, SUBMISSIONS / LEG ATTACKS, Technique_Leg Attacks, TopBestSeller, trending-now",https://bjjfanatics.com/products/down-under-leg-attacks-by-craig-jones
20,2018-04-21,"The Triangle Machine by Craig Jones","Craig Jones",47.00,"COMBO","above-30, auto-best-seller, best_selling, best_selling_fighter, bestsellers-new, Craig Jones, Facebook, featured-bestsellers, Fighter_Craig Jones, GTIN, hide-combo, hide-dvd, MC_Submissions, New, SC_Submissions_Chokes, Show_More_App, Technique_Submissions, TopBestSeller",https://bjjfanatics.com/products/the-triangle-machine-by-craig-jones
